		[PMC2447753]
SPAdes	SPAdes	[PMC4103437]
SPCImage	SPCImage	[PMC3628511]
SPM	SPM	[PMC3198286,PMC4269546,PMC3309518]
SPM5	SPM5	[PMC3722356,PMC3932086]
SPPS	SPPS	[PMC4597507]
SPSS	SPSS	[PMC5103916,PMC4153526,PMC5045956,PMC5015294,PMC3778302,PMC4472590,PMC4929210,PMC5329788,PMC3768955,PMC2958506,PMC4940481,PMC4963166,PMC2729960,PMC2741607,PMC4939487,PMC3694184,PMC4894081,PMC4541654,PMC4852604,PMC5098051,PMC5271433,PMC4763990,PMC3252618,PMC4812167,PMC3259236,PMC4633460,PMC5327171,PMC3604266,PMC4771121,PMC4401356,PMC4505995,PMC2846736,PMC5122609,PMC4930280,PMC4564743,PMC4665880,PMC4751907,PMC5348473,PMC4723022,PMC4296915,PMC4234239,PMC4478301,PMC3212591,PMC5467422,PMC2991579,PMC3793542,PMC4303280,PMC4914536,PMC4958110,PMC4250666,PMC4559775,PMC5012598,PMC4350160,PMC4582561,PMC4236336,PMC4647257,PMC4775480,PMC5032163,PMC5016904,PMC5413540,PMC5016906,PMC2867195,PMC4767401,PMC4231936,PMC3575563,PMC4271550,PMC3430911,PMC3318936,PMC3464321,PMC4304534,PMC3880993,PMC4138420,PMC3789839,PMC4304516,PMC5265988,10.3846%2Fbtp.2013.27,PMC4496510,PMC5020575,PMC4272497,PMC4357677,PMC4918545,PMC4054524,PMC2890364,PMC2826650,PMC4870544,PMC4219874,PMC3335898,PMC4012704,PMC3824685,PMC4003544,PMC3834693,PMC5407229,PMC4585391,PMC4634622,PMC3361050,PMC5132146,PMC3088464,PMC3796294,PMC5098113,PMC5266189,PMC4062317,PMC3641311,PMC4265209,PMC4385725,PMC4589713,PMC4384862,PMC4614601,PMC3524325,PMC3425424,PMC5256325,PMC4214970,PMC5293301,PMC5370249,PMC3283851,10.3846%2Fbtp.2017.018,PMC4886572,PMC4540847,PMC3534176,PMC5266113,PMC5318538,PMC4468621,PMC3558131,PMC4515454,PMC5467779,PMC4327489,PMC3982819,PMC4818058,PMC3886109,PMC5011596,PMC3693422,PMC3580823,PMC3832812,PMC4878562,PMC4345719,PMC5339929,PMC3429821,PMC3040438,PMC5300861,PMC3279886,PMC4590259,PMC5436526,PMC3587895,PMC3611102,PMC2936008,PMC4481556,PMC4632933,PMC5473125,PMC5300027,PMC5445908,PMC5355527,PMC4073352,PMC3408515,PMC3021741,PMC3773590,PMC2789947,PMC5459276,PMC3469014,PMC3318181,PMC3049292,PMC4826955,PMC4623144,PMC5452632,PMC3309253,PMC4718351,PMC4860852,PMC5040012,PMC3031000,PMC4210416,PMC4495456,PMC4174215,PMC5130055,PMC4848362,PMC3374006,PMC3349042,PMC3337072,PMC3708637,PMC4874631,PMC5440121,10.3846%2F1611-1699.2009.10.279-289,PMC5378987,PMC4255760,PMC5390613,PMC4630182,PMC4040663,PMC4531628,PMC5013290,PMC2999698,PMC3710919,PMC5453893,PMC4150201,PMC4388098,PMC3285716,PMC3983507,PMC5037241,PMC4792212,PMC5109890,PMC4388951,PMC4784605,PMC3349032,PMC4819867,PMC4387613,PMC5383462,PMC5104181,PMC3619103,PMC3390076,PMC4665705,PMC3624981,10.1111%2F1467-8462.12152,PMC3964493,PMC5436475,PMC4950899,PMC3218131,PMC4386318,PMC3542452,PMC5088916,PMC5080194,PMC4680075,PMC5462700,PMC4441238,PMC2996622,PMC3891859,PMC4492334,PMC5279962,PMC4431426,PMC3729991,PMC4431423,PMC4407761,10.1515%2Fjbnst-2018-0002,PMC4160583,PMC3522449,PMC4242897,PMC3017597,PMC4720104,PMC3104442,PMC4453642,PMC4301232,PMC4555593,PMC4309330,PMC3003812,PMC2955740,PMC4050386,PMC3198078,PMC3797259,PMC4553351,PMC4789845,PMC4743607,PMC4951770,PMC4916592,PMC3999808,PMC4531765,PMC5407455,PMC3184742,PMC4630049,PMC4310378,PMC5385115,PMC4530448,PMC4686099,PMC4038421,PMC5005113,PMC5121256,PMC4027710,PMC3881477,PMC4793029,PMC4622454,PMC4736865,PMC4898329,PMC4750770,PMC3905533,PMC3717207,PMC3302911,PMC4764960,PMC3334951,PMC4164721,PMC4807949,PMC3446116,PMC3817086,PMC5133663,PMC4602874,PMC4923836,PMC4758284,PMC2808580,PMC3037501,PMC5066378,PMC4816035,PMC4497354,PMC4644610,PMC3782730,PMC4819553,PMC2698157,PMC3805007,PMC2633203,PMC3293421,PMC5013111,PMC4832950,PMC4832946,PMC4174131,PMC3386500,PMC5010096,PMC5466216,PMC3768479,PMC4568189,PMC3898763,PMC5292639,PMC4582469,PMC4623719,PMC4651396,PMC3611748,PMC4644632,PMC3758215,PMC4926940,PMC5440848,PMC3200513,PMC4799566,PMC3977211,PMC5138571,PMC3448398,PMC4286759,10.1111%2F1467-8462.12246,PMC4205716,PMC5084642,PMC5009042,PMC5244966,PMC5402591,PMC4792979,PMC3836143,PMC2963841,PMC4720847,PMC4389529,PMC5386927,PMC4674517,PMC5207597,PMC4494636,PMC4377530,PMC5019270,PMC4345972,PMC3955898,PMC4310406,PMC3859226,PMC4812582,PMC4926004,PMC5064647,PMC3278723,PMC4189227,PMC3887290,PMC3905558,PMC3374072,PMC3671002,PMC3835222,PMC4960374,PMC4820195,PMC4837866,PMC5111494,PMC5415459]
SPSS (Statistical Package for Social Sciences	SPSS (Statistical Package for Social Sciences	[PMC4588797]
SPSS Statistic	SPSS Statistic	[PMC3590666]
SPSS Statistics	SPSS Statistics	[PMC3960616,10.3846%2Fbtp.2013.11,PMC4057327,PMC4280397,PMC5300861,PMC5428908,PMC4849203,PMC5234238,PMC4443457,PMC5080194,PMC4728087,PMC4908911,PMC4506345,PMC4504996,PMC3898763,PMC4120377]
SPSS Statistics 21	SPSS Statistics 21	[PMC4304534]
SPSS Statistics Amos	SPSS Statistics Amos	[PMC4823393]
SPSS statistical	SPSS statistical	[PMC5374131]
SPSS statistics	SPSS statistics	[PMC4977128]
SPSS-AMOS	SPSS-AMOS	[10.3846%2Fbtp.2013.31]
SPSS/PC	SPSS/PC	[PMC2782970]
SPSSStatistics	SPSSStatistics	[PMC3221323]
SPSS®	SPSS®	[PMC4651396]
SRA Toolkit	SRA Toolkit	[PMC4797302]
SSPro	SSPro	[PMC1950546]
SSRIT	SSRIT	[PMC4123385]
STAC	STAC	[PMC2241875]
STATA	STATA	[10.1111%2Fjors.12298,PMC4894081,PMC5295802,10.1007%2Fs00181-016-1169-2,10.1080%2F00220485.2017.1353464,PMC4853138,10.1111%2Fjors.12202,PMC4575381,10.1257%2Fjep.25.3.83,PMC5271396,PMC5419227,10.1111%2Fkykl.12110,PMC5287949,10.1257%2Faer.20151404,PMC3549250,PMC3575981,PMC4592051,PMC5436526,PMC3487307,PMC4133065,PMC3915115,PMC4998785,PMC4266938,10.1257%2F000282805774669772,PMC3880232,10.1007%2Fs00148-015-0566-8,PMC3717584,PMC4934460,PMC3780496,10.1177%2F1091142114551600,10.1111%2F1467-8462.12152,PMC2927682,PMC4368909,10.1007%2Fs00191-010-0188-y,10.1007%2Fs11558-011-9108-7,10.1111%2F1756-2171.12020,PMC4453652,10.1111%2Fecin.12363,PMC4425235,PMC4750770,PMC4313447,10.1111%2Fj.1468-0351.2009.00346.x,10.1007%2Fs00181-012-0549-5,PMC3998155,10.1111%2F1467-8462.12246,10.1080%2F00213624.2016.1210384,PMC4189225,10.1111%2Flabr.12083]
STATA SE	STATA SE	[PMC5128353]
STATA Statistical Software	STATA Statistical Software	[PMC4505989]
STATA/SE	STATA/SE	[PMC5329793,PMC4541475]
STATISTICA	STATISTICA	[PMC4967653,10.3846%2Fbtp.2015.433,PMC4283880]
STRUCTURE	STRUCTURE	[PMC4283627,PMC3223056]
SUDAAN	SUDAAN	[PMC2809279,PMC4523486,PMC3379598,PMC2895706]
SUPERPOSE	SUPERPOSE	[PMC3281721]
SWAMI	SWAMI	[PMC2773253]
SWISS-MODEL	SWISS-MODEL	[PMC3105518]
SYBYL	SYBYL	[PMC3281721,PMC5143422]
SYBYL-X	SYBYL-X	[PMC3771852]
SYSTAT	SYSTAT	[PMC4672851]
SaTScan	SaTScan	[PMC2935919]
Sam Test	Sam Test	[PMC3494016]
SameSpots	SameSpots	[PMC2649809]
Samtools	Samtools	[PMC3630384]
SaveNow	SaveNow	[10.1257%2Fjep.26.2.189]
Scaffold	Scaffold	[PMC4853038]
Scan Asyst®	Scan Asyst®	[PMC4938145]
ScanEdit	ScanEdit	[PMC4375646]
ScanProsite	ScanProsite	[PMC2652046]
Scanco	Scanco	[PMC4128692]
Scanco FE soft-ware	Scanco FE soft-ware	[PMC5440848]
Scholar	Scholar	[10.1257%2Faer.20150592]
Scholarometer	Scholarometer	[10.1257%2Faer.20140850]
Schrödinger	Schrödinger	[PMC3060514]
SciClone	SciClone	[PMC4895162]
ScienceDirect	ScienceDirect	[10.1257%2F089533002320951064]
Scion	Scion	[PMC3197029]
Scion Image	Scion Image	[PMC4360915,PMC3078083]
Scion Image Beta	Scion Image Beta	[PMC4789845]
Scripture	Scripture	[PMC4719240]
Seahawk	Seahawk	[PMC2773253]
Search Planner	Search Planner	[10.1111%2Fjems.12141]
Secondary Analysis	Secondary Analysis	[PMC5129524]
Seegene viewer	Seegene viewer	[PMC3212666]
Sencha Touch	Sencha Touch	[PMC3589687]
SeqClean	SeqClean	[PMC5129524]
SeqMan Pro	SeqMan Pro	[PMC4473108,PMC4540966]
Seqmatch	Seqmatch	[PMC3709511]
Sequence MassARRAY Assay Design	Sequence MassARRAY Assay Design	[PMC5265988]
Sequencher	Sequencher	[PMC3129971,PMC4103437]
Sequenom Typer	Sequenom Typer	[PMC5265988]
Sequest	Sequest	[PMC5339831]
ShortRead	ShortRead	[PMC4797302]
SiPhy-29way-logOdds	SiPhy-29way-logOdds	[PMC5132076]
Sigma Plot	Sigma Plot	[PMC3245946,PMC4680075,PMC3003812]
Sigma Stat	Sigma Stat	[PMC4793000]
Sigma-Plot	Sigma-Plot	[PMC4356689]
SigmaBlot	SigmaBlot	[PMC3281244]
SigmaGel	SigmaGel	[PMC3349042]
SigmaPlot	SigmaPlot	[PMC3007589,PMC3225968,PMC4397380,PMC3809360]
SigmaPlot Software	SigmaPlot Software	[PMC3245946]
SigmaStat	SigmaStat	[PMC4919585,PMC2872893,PMC2475704,PMC4540966,PMC5387758,PMC3984761,PMC2551674,PMC4700408]
Sigmastat	Sigmastat	[PMC4728087]
Signal P	Signal P	[PMC3384331]
SignalP	SignalP	[PMC2652046,PMC5054108,PMC3490414,PMC2682500,PMC3769764]
Significance Analysis of Microarray (SAM	Significance Analysis of Microarray (SAM	[PMC2911847]
SimplePCI	SimplePCI	[PMC3514035]
Singular Analysis Toolset	Singular Analysis Toolset	[PMC5098131]
SkyScan CT-Analyser	SkyScan CT-Analyser	[PMC5130055]
Skype	Skype	[PMC3140372,10.1007%2Fs10842-016-0243-y]
Slidebook	Slidebook	[PMC4010924]
SmartBrain Tool	SmartBrain Tool	[PMC4662707]
Smartsettle	Smartsettle	[10.3846%2Fjbem.2010.28]
Smurf	Smurf	[PMC2881384]
SmurfPreparse	SmurfPreparse	[PMC2881384]
SoapLab	SoapLab	[PMC2773253]
SoftMax	SoftMax	[PMC2722173]
Solaris	Solaris	[10.1257%2Fjep.15.2.25,10.1007%2Fs10614-017-9706-4]
Solid-Works	Solid-Works	[PMC3875508]
Sor-cerer system	Sor-cerer system	[PMC4959023]
Sound Forge	Sound Forge	[PMC4764960]
Spectacle	Spectacle	[PMC4888764]
Spectralis	Spectralis	[PMC5413303]
Spectrum	Spectrum	[PMC3173807,PMC3010901,PMC4181735]
Spotfire DecisionSite Analytics	Spotfire DecisionSite Analytics	[PMC3225968]
Springer's Editorial Manager	Springer's Editorial Manager	[10.1007%2Fs10888-015-9317-z]
Sspace	Sspace	[10.1007%2Fs10368-017-0398-y]
StarOffice	StarOffice	[10.1007%2Fs10614-017-9706-4]
Stat View	Stat View	[PMC3093010,PMC4527497]
Stat view	Stat view	[PMC5338961]
Stat/Transfer	Stat/Transfer	[10.1257%2F000282805774669772]
StatGraphics Centurion	StatGraphics Centurion	[PMC3134982]
StatLight2000	StatLight2000	[PMC5137495]
StatView	StatView	[PMC3648837]
StatView®	StatView®	[PMC5076548]
Stata	Stata	[PMC3792603,PMC3236159,PMC4027853,PMC5329793,PMC3994435,PMC3230829,10.1111%2Fj.1468-0351.2009.00367.x,PMC5359137,PMC5084721,PMC4600182,10.1111%2Fj.1467-6419.2007.00527.x,10.1257%2Faer.102.3.691,PMC3865386,PMC4919596,PMC5036010,PMC4717961,PMC4153088,10.1111%2Fecin.12279,PMC4306576,PMC5096434,10.1111%2Fsjpe.12150,PMC4917775,PMC4025442,PMC3710983,PMC3708637,PMC5129490,10.1111%2Fj.1467-8462.2013.12010.x,PMC4819867,PMC4781901,PMC5062751,PMC4455856,10.1515%2Fjbnst-2018-0002,PMC4536843,PMC3404480,10.1080%2F00036846.2015.1021547,PMC4310378,10.1007%2Fs10888-015-9303-5,10.1002%2Fpam.21962,PMC3158666,10.1111%2Fj.1467-6435.2010.00478.x,PMC3905533,10.1257%2Fjep.15.4.129,10.1111%2F1468-0106.12204,10.3846%2Fjbem.2010.13,PMC3529402,PMC5210341,PMC3898763,PMC3902401,PMC5223687,10.1111%2Ftwec.12539,10.1111%2Fecoj.12114,10.1111%2Fj.1530-9134.2009.00228.x,10.1111%2F1467-8462.12246,10.1108%2Fjes-01-2015-0013,10.1111%2Fecin.12086,10.1257%2Fjep.15.4.29,10.1080%2F09645292.2018.1426732,10.1007%2Fs10824-016-9270-0,PMC5018359]
Stata SE	Stata SE	[PMC3488743,PMC5321344]
Stata SE/MP	Stata SE/MP	[10.1111%2Fj.1467-8462.2013.12010.x]
Stata module runmlwin	Stata module runmlwin	[10.1080%2F09645292.2018.1426732]
Stata statistical package	Stata statistical package	[PMC5419227]
Stata/IC	Stata/IC	[PMC4785310]
Stata/MP	Stata/MP	[10.1111%2Fecin.12490]
Stata/SE	Stata/SE	[PMC5329793,PMC4264456,PMC3529402,PMC4913543]
Statcalc	Statcalc	[PMC4820668,PMC4183043]
Statistica	Statistica	[PMC4240489,PMC2649809,PMC2768165,PMC3794438,PMC3442822,PMC3598124,PMC4198632,PMC4793049,PMC4785010,PMC4679799,PMC3199877,PMC4849384,a2001-40-MOL_ECOL]
Statistical Analysis Software	Statistical Analysis Software	[PMC3717584]
Statistical Analysis Software (SAS	Statistical Analysis Software (SAS	[PMC4776054]
Statistical Analysis System	Statistical Analysis System	[PMC5191619,PMC4958647,PMC4621721,PMC4932580,PMC4049731,PMC5029575]
Statistical Data Warehouse	Statistical Data Warehouse	[10.1007%2Fs10290-016-0264-y]
Statistical Package for Social Science	Statistical Package for Social Science	[PMC5220168]
Statistical Package for Social Science (SPSS	Statistical Package for Social Science (SPSS	[PMC4664003]
Statistical Package for Social Sciences	Statistical Package for Social Sciences	[PMC5018703,PMC4668168,PMC3361050,PMC4947609,PMC4183238,PMC4454910,PMC4128692,PMC4752095,PMC4707405,PMC5111494]
Statistical Package for Social Sciences (SPSS	Statistical Package for Social Sciences (SPSS	[PMC3072005]
Statistical Package for the Social Sciences	Statistical Package for the Social Sciences	[PMC4853588,PMC4272508,PMC5359137,PMC3595621,PMC4846046,PMC4616395,PMC4455856,PMC4535552,PMC3994298,PMC3865143,PMC3655304,PMC4399784,PMC4766201]
Statistical Package for the Social Sciences (SPSS	Statistical Package for the Social Sciences (SPSS	[PMC3044586,PMC3428639,PMC4182997,PMC4012704,PMC3315194,PMC3663311,PMC3467446,PMC5345981]
Statistical Package for the Social Sciences"(SPSS	Statistical Package for the Social Sciences"(SPSS	[PMC4152993]
Statistical Package for the Social Sciences“(SPSS	Statistical Package for the Social Sciences“(SPSS	[PMC4152993]
Statistical Packages for Social Science	Statistical Packages for Social Science	[PMC4531739]
Statistical Packages for the Social Sciences	Statistical Packages for the Social Sciences	[PMC4947724]
Statistical Product and Service Solutions	Statistical Product and Service Solutions	[PMC5328613]
Statistical Program for Social Sciences	Statistical Program for Social Sciences	[PMC3220261]
Statistician	Statistician	[PMC4162729]
Statistix	Statistix	[PMC3768664]
StatsDirect	StatsDirect	[PMC5371709]
Statview	Statview	[PMC5440747,PMC3389425,PMC2570388,PMC4234332]
Stereo Investigator	Stereo Investigator	[PMC3973247]
Strelka	Strelka	[PMC4895162]
Study Manager Evolve	Study Manager Evolve	[PMC3246293]
Summit	Summit	[PMC3481138]
SuperLooper	SuperLooper	[PMC4987885]
SuperLooper2	SuperLooper2	[PMC4987885]
SuperSmoother	SuperSmoother	[PMC4797302]
Survey Monkey	Survey Monkey	[PMC4004741]
SurveyMonkey	SurveyMonkey	[10.1257%2Fjep.31.2.211]
SwissProt/UniprotKB	SwissProt/UniprotKB	[PMC3013677]
Symbian	Symbian	[10.1007%2Fs10842-011-0105-6]
Systat	Systat	[PMC3708637]
System Analysis and Statistical Genetics	System Analysis and Statistical Genetics	[PMC4213703]
T-COFFEE	T-COFFEE	[PMC1636350]
T-Coffee	T-Coffee	[PMC3384331]
T-coffee	T-coffee	[PMC2447753]
TAIR	TAIR	[PMC5210605,PMC3371863]
TALE-NT	TALE-NT	[PMC4010924]
TASSEL	TASSEL	[PMC3223056]
TAXSIM	TAXSIM	[10.1111%2F1756-2171.12020,10.1057%2Fs11369-017-0056-y,10.1111%2Fcoep.12177]
TAXSIM tax calculator	TAXSIM tax calculator	[10.20955%2Fr.2017.319-336]
TBXinputGUI.exe	TBXinputGUI.exe	[10.1007%2Fs10614-011-9257-z]
TBXoutputGUI.exe	TBXoutputGUI.exe	[10.1007%2Fs10614-011-9257-z]
TEXshade	TEXshade	[PMC3177212]
TGI	TGI	[PMC3194040]
TIGR	TIGR	[PMC3490414]
TILLvisION	TILLvisION	[PMC4147369]
TINA	TINA	[PMC3973247]
TM4 Spotfinder	TM4 Spotfinder	[PMC3329502]
TMEV	TMEV	[PMC3589720]
TMHMM	TMHMM	[PMC2652046,PMC3490414,PMC3384331]
TMPred	TMPred	[PMC2652046,PMC3384331]
TREE VIEW	TREE VIEW	[PMC2682500]
TSP	TSP	[10.1257%2Fjep.15.4.157]
Tagger	Tagger	[PMC2927682]
TargetScan	TargetScan	[PMC3481138,PMC3378868,PMC4789845]
Tat find	Tat find	[PMC3384331]
TatFind Servers	TatFind Servers	[PMC3384331]
Taverna	Taverna	[PMC2773253,PMC3692048]
Taverna WMS	Taverna WMS	[PMC3692048]
Taverna Workflow Management System	Taverna Workflow Management System	[PMC3692048]
TeX	TeX	[10.1111%2Fj.1530-9134.2009.00228.x]
Test Chart	Test Chart	[PMC4506345]
Test Work	Test Work	[PMC4307762]
The Epi Info software program	The Epi Info software program	[PMC4327489]
The Epi-Info	The Epi-Info	[PMC5091022]
The ProteinLynx Global Server	The ProteinLynx Global Server	[PMC4938145]
The Short Oligonucleotide Analysis Package(SOAPsnp	The Short Oligonucleotide Analysis Package(SOAPsnp	[PMC5478307]
The clinical assessment and remote administration tablet (CARAT	The clinical assessment and remote administration tablet (CARAT	[PMC3246293]
Tint	Tint	[PMC4280887]
TopHat	TopHat	[PMC3400965]
Tophat	Tophat	[PMC3641357]
Total-Lab TL120	Total-Lab TL120	[PMC4930282]
TotalLab Quant	TotalLab Quant	[PMC3368359]
Transcription Element Search Software	Transcription Element Search Software	[PMC4042634]
Tree Builder	Tree Builder	[PMC3627563]
TreeBASE	TreeBASE	[PMC3589787]
Treeview	Treeview	[PMC4586740]
Treeviewer	Treeviewer	[PMC3654430]
Trimmomatic	Trimmomatic	[PMC5132076]
Trinity	Trinity	[PMC5129524]
Tripoli	Tripoli	[PMC5226643]
TurboMass	TurboMass	[PMC4091108]
Twitter	Twitter	[10.1257%2Fjep.26.2.189,10.1111%2Fjems.12230]
U-Pb_Redux	U-Pb_Redux	[PMC5226643]
UCINET	UCINET	[PMC4166139]
UCLUST	UCLUST	[PMC4989302]
UCSC Genome Browser	UCSC Genome Browser	[PMC5424272,PMC5210542]
UCSC genome browser	UCSC genome browser	[PMC5210542]
UCSC lift-over tool	UCSC lift-over tool	[PMC3378868]
UCSC table browser	UCSC table browser	[PMC5424272]
UCSF Chimera	UCSF Chimera	[PMC4176174,PMC3575798]
UNet	UNet	[PMC5008171]
USEARCH	USEARCH	[PMC4989302,PMC4615214]
Ucon	Ucon	[PMC2935446]
Ultraedit	Ultraedit	[10.1111%2F1467-8462.12246]
UniProtKB/SwissProt	UniProtKB/SwissProt	[PMC3013677]
UniprotKB/SwissProt	UniprotKB/SwissProt	[PMC3013677]
UniprotKB/Swissprot	UniprotKB/Swissprot	[PMC3013677]
Universal Analysis 2000	Universal Analysis 2000	[PMC3927753]
Universal Imaging Metamorph	Universal Imaging Metamorph	[PMC1851647]
Universal Probe Library Assay Design Center	Universal Probe Library Assay Design Center	[PMC3575799]
UpWork	UpWork	[10.1257%2Faer.20160542]
Upwork	Upwork	[10.1257%2Faer.20160542]
VA-DAR	VA-DAR	[PMC3105518]
VADAR	VADAR	[PMC3105518]
VAR-NA	VAR-NA	[PMC4163634]
VASP	VASP	[PMC3808809]
VCF Tools	VCF Tools	[PMC3630384]
VEST3	VEST3	[PMC5132076]
VISTA	VISTA	[PMC3600908]
VITEK 2	VITEK 2	[PMC4644012]
Vector NTI	Vector NTI	[PMC3223056]
VectorNTI	VectorNTI	[PMC3223056]
Vegas Pro	Vegas Pro	[PMC3632766]
Venn	Venn	[PMC4586740]
Vetipedia	Vetipedia	[PMC4027805]
Vetstat	Vetstat	[PMC5131455]
Vida	Vida	[PMC3821792]
Vienna Ab-initio simulations package [VASP	Vienna Ab-initio simulations package [VASP	[PMC3808809]
Viia7 RUO	Viia7 RUO	[PMC4586752]
Visual Basic	Visual Basic	[PMC3638180,PMC3664701]
Visual Basic for Applications (VBA	Visual Basic for Applications (VBA	[10.1257%2Fjep.26.2.189]
Visual Molecular Dynamics	Visual Molecular Dynamics	[PMC2978351]
Visual Website Optimizer	Visual Website Optimizer	[10.1257%2Fjep.26.2.189]
Vitrea	Vitrea	[PMC4495456]
Vmatch	Vmatch	[PMC1933234]
VolatileCalc	VolatileCalc	[PMC3449286]
Volocity	Volocity	[PMC3501353,PMC5108413,PMC3608489,PMC5339831]
Volocity 4D	Volocity 4D	[PMC3608489]
Voronto	Voronto	[PMC4586740]
Voxx	Voxx	[PMC2806324]
WEEDER	WEEDER	[PMC5435914]
WFU Pickatlas	WFU Pickatlas	[PMC3722356]
WGCNA	WGCNA	[PMC4816756]
WINDOWS	WINDOWS	[PMC2729960]
WINMAXC32	WINMAXC32	[PMC4499650]
WOMBAT	WOMBAT	[PMC3822109]
WOS	WOS	[PMC5476471]
WU-BLAST	WU-BLAST	[PMC3013778]
WeChat	WeChat	[10.1257%2Fjep.31.1.49]
WebGL	WebGL	[PMC4987885]
WebLogo	WebLogo	[PMC4540966,PMC3384331]
WebOS	WebOS	[10.1007%2Fs10842-011-0105-6]
WebPlotDigitizer	WebPlotDigitizer	[PMC5299485]
WebPolis	WebPolis	[10.3846%2Fjbem.2010.20]
Wii Fit	Wii Fit	[PMC4977069]
Wii Sports Boxing	Wii Sports Boxing	[PMC4977069]
Wii tennis	Wii tennis	[PMC4977069]
WikiTrust	WikiTrust	[PMC3245093]
WikiVet	WikiVet	[PMC4027805]
WinBUGS	WinBUGS	[PMC4986689,PMC5372024]
WinEDR	WinEDR	[PMC3091210]
WinMx	WinMx	[10.1257%2Fjep.26.2.189]
WinNonlin	WinNonlin	[PMC5108428,PMC4368859,PMC4622569]
WinNonlin Professional	WinNonlin Professional	[PMC4561054]
WinView32	WinView32	[PMC3128530]
WinWCP	WinWCP	[PMC3091210]
Window	Window	[PMC4214970]
Windows	Windows	[10.1257%2Fjep.15.2.25,10.1007%2Fs10842-011-0105-6,PMC5436475,10.3846%2Fbtp.2007.31,10.1007%2Fs11151-011-9291-y]
Windows QTL cartographer	Windows QTL cartographer	[PMC3223056]
Windows XP Professional	Windows XP Professional	[PMC3632766]
Windows7	Windows7	[PMC4182815]
Winsteps	Winsteps	[PMC3780496]
Word	Word	[PMC4039861]
Work Observation Method by Activity Timing (WOMBAT	Work Observation Method by Activity Timing (WOMBAT	[PMC3822109]
WorkflowManagement System	WorkflowManagement System	[PMC3692048]
X! Tandem	X! Tandem	[PMC2649809]
XCalibur	XCalibur	[PMC4622569]
XLfit	XLfit	[PMC5360432]
XWINNMR	XWINNMR	[PMC4017532]
Xcaliber	Xcaliber	[PMC3531733]
Xcalibur	Xcalibur	[PMC2649809,PMC4317475]
XtalView	XtalView	[PMC1934993]
XwinNMR	XwinNMR	[PMC2238715]
YCOW-S	YCOW-S	[PMC5042035]
Yahoo	Yahoo	[10.1111%2Fjems.12141]
Yahoo!	Yahoo!	[10.1257%2Fjep.26.2.189]
YouTube	YouTube	[PMC4027805]
Z-tree	Z-tree	[10.1007%2Fs11166-011-9127-z]
ZCURVE	ZCURVE	[PMC3686433]
ZEN	ZEN	[PMC3514035,PMC3526355]
Zeiss Axiovision	Zeiss Axiovision	[PMC3762194]
Zeiss LSM Image	Zeiss LSM Image	[PMC3691566]
Zen	Zen	[PMC5446083]
Zen Black edition	Zen Black edition	[PMC4832390]
ZetaSizer Nano ZS	ZetaSizer Nano ZS	[PMC4938145]
Ziostation	Ziostation	[PMC5098290]
ace.map	ace.map	[PMC5054038]
airbnb	airbnb	[10.1007%2Fs00191-017-0548-y]
alphaMELTS	alphaMELTS	[PMC5226643]
alteRNA	alteRNA	[PMC1933159]
amova	amova	[a2001-40-MOL_ECOL]
asp.NET	asp.NET	[PMC3013714]
at3d	at3d	[PMC3035800]
bet	bet	[PMC4589266]
big-π	big-π	[PMC5054108]
biosys	biosys	[a2000-04-MOL_ECOL]
blablacar	blablacar	[10.1007%2Fs00191-017-0548-y]
bwa	bwa	[PMC4069613]
caRNAc	caRNAc	[PMC2447753]
caret	caret	[PMC5238813]
ccEBSD	ccEBSD	[PMC4927739]
cellSens Dimension	cellSens Dimension	[PMC5098131]
cloneDB	cloneDB	[PMC4354499]
clustal	clustal	[a2001-40-MOL_ECOL]
clustalw	clustalw	[PMC2773253]
co-phylog	co-phylog	[PMC3627563]
co-phylog program	co-phylog program	[PMC3627563]
collapse	collapse	[a2001-40-MOL_ECOL]
compute.es	compute.es	[PMC4816756]
ct3d	ct3d	[PMC3035800]
cubist	cubist	[PMC5238813]
dChip	dChip	[PMC3322527]
dtifit	dtifit	[PMC4589266]
e-Prime	e-Prime	[PMC3309518]
e-care	e-care	[PMC4666316]
e1071-package	e1071-package	[PMC4401865]
e1071-package of R	e1071-package of R	[PMC4401865]
eBay	eBay	[10.1257%2Fjep.26.2.189,10.1007%2Fs00191-017-0548-y]
eCaseLink	eCaseLink	[PMC3246293]
eCaseLinkEDC.aspx	eCaseLinkEDC.aspx	[PMC3246293]
eZula	eZula	[10.1257%2Fjep.26.2.189]
eddy_correct	eddy_correct	[PMC4589266]
electronic health record	electronic health record	[PMC3638180]
excel	excel	[PMC3030791,PMC4579483]
fastq-dump	fastq-dump	[PMC4797302]
fmin-search	fmin-search	[PMC4898791]
fnirt	fnirt	[PMC4589266]
frontier	frontier	[10.1007%2Fs11123-009-0142-x]
fscaret	fscaret	[PMC5238813]
gardenia	gardenia	[PMC2447753]
gemtc	gemtc	[PMC4259556]
genetics	genetics	[PMC3361050]
gnupplot	gnupplot	[PMC5054038]
gsAssembler	gsAssembler	[PMC3384331]
haplo.stats	haplo.stats	[PMC3361050]
hmmbuild	hmmbuild	[PMC2881384]
hmmscan	hmmscan	[PMC5129524]
iOS	iOS	[10.1007%2Fs10842-011-0105-6,10.1111%2F1467-8462.12152]
iPSORT	iPSORT	[PMC2652046]
iQ iCycler	iQ iCycler	[PMC2963829]
